Date,ShareLink,ShareCommentary,SharedUrl,MediaUrl,Visibility
2024-11-16 22:23:02,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7263677978281168896,"Todos los cursos de Platzi (+ de 2000) están totalmente gratis (sin necesidad de poner tarjeta de crédito) por este fin de semana (15 al 17 de noviembre)""
""""
""Nunca hice un curso en esa plataforma pero parece una buena oportunidad para probar.""
""""
""Hay cursos de datos, IA y Python, entre muchos otros. ""
""""
""Espero que les sirva!""
""""
""🔗Link en el primer comentario""
""""
""🤖 ¿Te interesa leer contenido sobre programación principalmente en Python, ciencia de datos e inteligencia artificial? Seguime en Gustavo Juantorena  y activá la campana🔔 para enterarte cada vez que comparto contenido.","","",MEMBER_NETWORK
2024-11-15 13:01:02,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7263174156786008064,Álgebra lineal en español 🙌🏼,"","",MEMBER_NETWORK
2024-11-14 12:26:09,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7262802991525613568,"💻  El video sobre Procesamiento del Lenguaje Natural (NLP) más visto de TODO INTERNET (+ 1.2 millones de vistas) ""
""""
""En este excelente tutorial introductorio para empezar a hacer NLP con Python de 2 horas, Alice Zhao nos guía por los conceptos y herramientas básicos para empezar en la disciplina.""
""""
""🔍 Si te interesan estos temas, este video te puede servir""
""""
""✔️ Técnicas de preprocesamiento de texto""
""✔️ Clasificación de textos, como identificar correos de spam""
""✔️ Modelado de sentimientos en redes sociales""
""✔️ Uso de herramientas populares: NLTK, TextBlob, spaCy, gensim, pandas y scikit-learn.""
""""
""📚 Temas disgregados""
""""
""✅ Conceptos básicos""
""✅ Qué es NLP ""
""✅ Ejemplos prácticos""
""✅ Flujo de trabajo en ciencia de datos ""
""✅ Recolección de datos""
""✅ Limpieza de datos""
""✅ Construcción del corpus ""
""✅ Matrices de términos ""
""✅ Uso de expresiones regulares ""
""✅ Tokenización de texto ""
""✅ Eliminación de palabras vacías""
""✅ Implementación del modelo Bag of Words""
""✅ Trabajo con DataFrames en pandas""
""✅ Uso de archivos Pickle para almacenamiento""
""""
""🔗Link en el primer comentario""
""""
""🤖 ¿Te interesa leer contenido sobre programación principalmente en Python, ciencia de datos e inteligencia artificial? Seguime en Gustavo Juantorena y activá la campana🔔 para enterarte cada vez que comparto contenido.""
""""
""#nlp #python","","",MEMBER_NETWORK
2024-11-13 13:26:06,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7262455690437263360,"¿Querés aprender a codear un Transformer desde cero en Python? ""
""""
""✅ Umar Jamil es un Machine Learning Engineer de Italia que entre muchas otras cosas hace videos de youtube explicando conceptos de IA complejos desde cero incluyendo la matemática y el código necesarios.""
""""
""✅ En este video enseña como crear una arquitectura de transformers desde cero usando Pytorch. ""
""""
""✅ No se tratan de videos básicos, pero si muy bien explicados y recomiendo mucho ya que a medida que vamos buscando tutoriales de temas más avanzados en Youtube son cada vez menos frecuentes.""
""""
""✅ También les recomiendo sus otros videos, especialmente el de mecanismo de atención que es bastante útil para comprender este.""
""""
""🔗Link en el primer comentario""
""""
""🤖 ¿Te interesa leer contenido sobre programación principalmente en Python, ciencia de datos e inteligencia artificial? Seguime en Gustavo Juantorena y activá la campana🔔 para enterarte cada vez que comparto contenido.""
""""
""#transformers #machinelearning #ia","","",MEMBER_NETWORK
2024-11-11 12:30:59,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7261717042280419329,Otro de Mike,"","",MEMBER_NETWORK
2024-11-07 14:49:38,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7260302382373212162,"De lo mejor que he visto para introducirse a SQL para análisis de datos""
""""
""Los tutoriales de Alice Zhao me parecen los más claros, precisos y sencillos para aprender a usar este lenguaje de consulta.""
""""
""✍ Algunos de los temas que explica""
""""
""✔ Relational databases""
""✔ Queries""
""✔ SELECT""
""✔ FROM""
""✔ WHERE""
""✔ GROUP BY""
""✔ HAVING""
""✔ ORDER BY""
""✔ LIMIT""
""✔ COUNT""
""✔ DISTINCT""
""✔ LEFT JOIN""
""✔WINDOW FUNCTIONS""
""✔CTEs""
""""
""🔗Links en el primer comentario""
""""
""🤖 ¿Te interesa leer contenido sobre programación principalmente en Python, ciencia de datos e inteligencia artificial? Seguime en Gustavo Juantorena y activá la campana🔔 para enterarte cada vez que comparto contenido.""
""""
""#sql #datascience #dataanalytics","","",MEMBER_NETWORK
2024-11-03 13:55:09,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7258839123103244289,"Buen primer mes en Substack, por ahora solo subí un blog pero la idea es ir subiendo uno por mes sobre temas de Python, Ciencia de Datos y Neuro. ""
""""
""Si les interesa: https://lnkd.in/ddaRFj6g","","",MEMBER_NETWORK
2024-11-02 16:49:11,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7258520529572118529,"Terminada mi clase de 4 horas de Machine Learning para la Diplomatura en Neurociencias cognitivas de Neurotransmitiendo 🙌🏼""
""""
""Si quieren soportarme como docente diciendo ""Se entendió??"" cada dos palabras, pueden anotarse para el año que viene 🤣","","",MEMBER_NETWORK
2024-11-01 13:30:53,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7258108237734907904,"Yo ya lo tengo, pero aprovechen el cupón gratuito para el curso de Deep Learning de Mike X Cohen! Sus cursos me vienen sirviendo hace años para aprender y reforzar temas de estadística, programación y análisis de datos en Neurociencia.","","",MEMBER_NETWORK
2024-10-31 18:28:11,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7257820670313594881,Me gusta esto que hace GitHub por Halloween 🤣,"","",MEMBER_NETWORK
2024-10-31 14:46:55,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7257764987450880001,Es buenísima esta función! No la conocía. Matplotlib te permite hacer zoom a una región de tu gráfico.,"","",MEMBER_NETWORK
2024-10-30 18:54:24,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7257464881136758785,Los tutoriala de las Pycon valen mucho la pena. son charlas y hands-on largos que entran en profundidad en temas técnicos de Python. Me encanta esta página que reúne y resume los más nuevos,"","",MEMBER_NETWORK
2024-10-29 16:24:22,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7257064733642506241,Aprovechemos para conocer a más personas del mundo de los datos! Si tienen alguien para recomendar pasen por el post de Giuliana Belli 😃,"","",MEMBER_NETWORK
2024-10-26 19:19:12,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7256021568231796739,"✅ Presentando nuestro trabajo ""A New Digital Neuropsychology Approach for Mild Cognitive Impairment: Computerized Trail Making Test with Integrated Hand and Eye Tracking"" en la XXXIX reunión anual de la Sociedad Argentina de Investigación en Neurociencias #SAN2024""
""""
""Muy contento de poder estar en un ambiente tan enriquecedor con mucha gente interesada en avanzar en el estudio del cerebro 🧠","","",MEMBER_NETWORK
2024-10-25 23:53:23,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7255728179875618816,Gran curso!,"","",MEMBER_NETWORK
2024-10-24 12:30:56,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7255194047013642240,"📊Día 2 de ""Inferencia estadística en las neurociencias experimentales utilizando R"" en el Congreso de la Sociedad Argentina de Investigación en Neurociencias.""
""""
""Modelos lineales y modelos lineales mixtos""
""""
""Ignacio Spiousas","","",MEMBER_NETWORK
2024-10-23 12:28:33,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7254831061610708994,"Arranca el curso ""Inferencia estadística en las neurociencias experimentales utilizando R""  en el Congreso Anual de la Sociedad Argentina de Investigación en Neurociencias (#SAN2024)","","",MEMBER_NETWORK
2024-10-21 17:09:02,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7254176871288889344,"Una nueva edicion de NeuroTechX Buenos Aires: ""Conectando mentes y máquinas: BCI y las nuevas fronteras de la Neurotecnología""""
""(evento presencial gratuito pero también podés verlo online en vivo si te anotás!)""
""""
""Les comparto la invitación de mis amigos de NeuroTechX Buenos Aires. Me parece que están haciendo un trabajo increíble difundiendo las posibilidades de la industria de la Neurotecnología en la región. Argentina, además de destacarse en industrias como Ingenierìa de Software y Biotecnología tiene unas posibilidades enormes en el área de la neurotecnología y este tipo de eventos ayudan muchísimo a su progreso y difusión.""
""""
""🧠 Estamos muy contentos de anunciar la próxima charla de la mano del Dr. Rodrigo Ramele, especializado en robótica y bioingeniería en la universidad de Tohoku (Japón), doctor en ingeniería en BCI (ITBA) y Cofundador y CTO de NeuroAcoustics.""
""""
""🧐En esta oportunidad, Rodrigo nos va a hablar sobre cómo las BCI están avanzando gracias a la IA, la robótica y la cibernética. Veremos su impacto en la industria, las diferencias entre BCI no-invasivas e invasivas, y el rol clave del EEG como neurocorrelato. Además, discutiremos sobre investigacion y financiamiento en el desarrollo de BCI en Argentina.""
""""
""📅 Fecha: Jueves 24 de Octubre""
""""
""⏰ Hora: 18.30hs""
""""
""📍Lugar: Por privado (lo van a recibir luego de anotarse)""
""""
""✅Actividad no arancelada""
""""
""👉Para inscribirse deberán completar el siguiente formulario (link en el primer comentario)""
""""
""❗Los cupos son limitados, la dirección será enviada por privado. También podes seguir la transmisión en vivo si no podes asistir.""
""""
""🙌Luego de la charla, habrá bebidas y algo para picar para que puedan conocer más al expositor.""
""""
""Esto es posible gracias a Instituto Humai por ser sede nuevamente de este hermoso evento.""
""""
""No te lo pierdas!","","",MEMBER_NETWORK
2024-10-18 12:59:25,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7253026889051635712,Recursos para prepararse para una entrevista como Machine Learning Engineer. El blog Yuan Meng está muy bueno en general!,"","",MEMBER_NETWORK
2024-10-16 18:55:33,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7252391738865045504,Muy buenas animaciones de data drift en producción,"","",MEMBER_NETWORK
2024-10-15 13:19:24,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7251944755767468032,"La matemática detrás de Alphafold (el modelo de predicción de estructura de proteínas que les valió un premio Nobel) explicada ""a mano"" en un excel. La capacidad que tiene Tom Yeh para explicar temas complejos de forma simple es asombrosa!","","",MEMBER_NETWORK
2024-10-15 00:43:18,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7251754476397588480,El mejor libro de Python,"","",MEMBER_NETWORK
2024-10-13 16:14:37,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7251264075362430976,"📚 Resúmenes de Stanford sobre conceptos de Machine Learning gratis y en español📚 ""
""""
""Como les compartía ayer, las ""cheatsheets"" de CS 229 están disponibles en español gracias a Shervine Amidi de Stanford y Afshine Amidi del MIT""
""""
""✍ Temas: ""
""✅ Aprendizaje Supervisado ""
""✅ Aprendizaje no Supervisado ""
""✅ Aprendizaje Profundo ""
""✅ Consejos y Trucos""
""✅ Además tiene un repaso de Probabilidad, Estadísticas, Álgebra Lineal y Cálculo.""
""""
""🔗Link en el primer comentario""
""""
""🤖 ¿Te interesa leer contenido sobre programación principalmente en Python, ciencia de datos e inteligencia artificial? Seguime en Gustavo Juantorena y activá la campana🔔 para enterarte cada vez que comparto contenido.","","",MEMBER_NETWORK
2024-10-12 15:57:23,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7250897349424676865,"Los ✨métodos mágicos✨ de Python (que de mágicos no tienen nada 😅)""
""""
""[📝Escribí un blog con más detalles y podés leerlo en el link de los comentarios]""
""""
""Los métodos mágicos o ""dunder"" (abreviación de ""double under"", por las dobles guiones bajos que tienen antes y después) son muy importantes para armar objetos en Python y otorgar funcionalidad, formando parte del Python Data Model (otro día puedo hablar más de esto). Aunque rara vez los llamamos directamente, el intérprete de Python lo hace por nosotros. Por ejemplo, cuando usamos len(objeto), realmente estamos ejecutando objeto.__len__().""
""""
""Python nos proporciona métodos con nombres especiales como __len__ o __getitem__ que podemos agregar a nuestras clases para otorgar ciertas funcionalidades como:""
""""
""🔁 Ser iterables (usando for).""
""""
""🗂️ Ser indexables (usando []).""
""""
""🪆Usar el operador ""in"" para comprobar si contienen elementos.""
""""
""¿Los conocían? ¿Alguna vez los usaron?""
""""
""🔗Link al blog en los comentarios""
""""
""🤖 ¿Te interesa leer contenido sobre programación principalmente en Python, ciencia de datos e inteligencia artificial? Seguime en Gustavo Juantorena y activá la campana🔔 para enterarte cada vez que comparto contenido.""
""""
""#Python #Programación #blog","","",MEMBER_NETWORK
2024-10-12 14:57:38,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7250882311791988736,Muy buenos para estudiar conceptos de Machine Learning y encima hay versión en español!!,"","",MEMBER_NETWORK
2024-10-10 14:57:07,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7250157407115354113,"Educación pública ¿Para qué?""
""""
""Fui al preescolar en una institución pública,""
""también a la primaria, ""
""a la secundaria""
""y a la Facultad de Ciencias Exactas y Naturales, UBA donde me recibí de Licenciado en Cs. Biológicas.""
"" ""
""Ahora estoy haciendo un doctorado  en Cs. de la Computación en el Laboratorio de Inteligencia Artificial Aplicada del Instituto de Ciencias de la Computación con una beca de CONICET.""
""""
""Crecí en Lomas de Zamora y viajaba no menos de 3 horas al día para ir y venir, pero la verdad que valió la pena.""
""""
""Ojalá más personas tengan esta posibilidad, ojalá los docentes puedan quedarse enseñando en las institutciones públicas y el nivel pueda mantenerse.""
""""
""La verdad es que estoy muy triste viendo que eso no parece estar garantizado.","","",MEMBER_NETWORK
